brand,category,category_2,category_3,current_price,discount,image_url,is_official_store,name,old_price,rating,review_count,scraped_at,sku,source,url
P9,Phones & Tablets,Accessories,Headsets,59.00 Dhs,34%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,P9 Casque Bluetooth Sans Fil écouteur anti bruit Bluetooth,89.00 Dhs,4,5,2025-12-03T13:45:36.739721,,jumia.ma,https://www.jumia.ma/p9-casque-bluetooth-sans-fil-ecouteur-anti-bruit-bluetooth-64331966.html
Samsung,Phones & Tablets,Accessories,Memory Cards,159.00 Dhs,36%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Samsung Memory Card Micro SD Carte Mémoire Micro SDXC Classe 10 128 GB 130MB/s,250.00 Dhs,4.6,152,2025-12-03T13:45:36.740412,,jumia.ma,https://www.jumia.ma/samsung-memory-card-micro-sd-carte-memoire-micro-sdxc-classe-10-128-gb-130mbs-59758408.html
Generic,Phones & Tablets,Accessories,Mobile Game Controllers,247.00 Dhs,59%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Manette sans fil RGB pour téléphone contrôleurs sans fil pour iOS / Android / PC / Switch Bluetooth avec ventilateur de refroidissement à radiateur,600.00 Dhs,4.5,18,2025-12-03T13:45:36.741031,,jumia.ma,https://www.jumia.ma/generic-manette-sans-fil-rgb-pour-telephone-controleurs-sans-fil-pour-ios-android-pc-switch-bluetooth-avec-ventilateur-de-refroidissement-a-radiateur-65849440.html
Ugreen,Phones & Tablets,Accessories,Chargers,99.00 Dhs,50%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Ugreen A+C Dual-Port Car Charger PD30W+SCP22.5W,199.00 Dhs,4.4,9,2025-12-03T13:45:36.741672,,jumia.ma,https://www.jumia.ma/ugreen-ac-dual-port-car-charger-pd30wscp22.5w-65995242.html
Samsung,Phones & Tablets,Accessories,Accessory Kits,58.00 Dhs,55%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung 3.5mm Earphones black,129.00 Dhs,4.3,9,2025-12-03T13:45:36.742496,,jumia.ma,https://www.jumia.ma/samsung-3.5mm-earphones-black-43439144.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,819.00 Dhs",17%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI REDMI 15 - 256 Go - NFC - 8 Go RAM – Titan Gray,"2,199.00 Dhs",,,2025-12-03T13:45:38.512583,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-15-256-go-nfc-8-go-ram-titan-gray-67257950.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,249.00 Dhs",24%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"XIAOMI Redmi 15C 6.9"" – 4GB + 128GB – Moonlight Blue","1,650.00 Dhs",,,2025-12-03T13:45:38.513281,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-15c-6.9-4gb-128gb-moonlight-blue-67216652.html
XIAOMI,Phones & Tablets,Accessories,Wired Headsets,67.00 Dhs,32%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Type-C Earphones (Black),99.00 Dhs,3.8,36,2025-12-03T13:45:38.513895,,jumia.ma,https://www.jumia.ma/xiaomi-type-c-earphones-black-65849315.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,249.00 Dhs",24%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"XIAOMI Redmi 15C 6.9"" – 4GB + 128GB – Mint Green","1,650.00 Dhs",4.8,4,2025-12-03T13:45:38.514605,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-15c-6.9-4gb-128gb-mint-green-67185055.html
XIAOMI,Phones & Tablets,Mobile Phones,Smartphones,"1,819.00 Dhs",17%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI REDMI 15 - 256 Go - NFC - 8 Go RAM – Midnight Black,"2,199.00 Dhs",4,1,2025-12-03T13:45:38.515312,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-15-256-go-nfc-8-go-ram-midnight-black-67257949.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,589.00 Dhs",6%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Galaxy A16 4GB + 128GB - Gray - 2 ans de garantie,"1,699.00 Dhs",4.8,33,2025-12-03T13:45:38.515930,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a16-4gb-128gb-gray-2-ans-de-garantie-65981494.html
JBL,Phones & Tablets,Accessories,Corded Headsets,419.00 Dhs,40%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,JBL Casque Tune 510BT – BLANC,699.00 Dhs,5,5,2025-12-03T13:45:38.516619,,jumia.ma,https://www.jumia.ma/jbl-casque-tune-510bt-blanc-67244820.html
Haylou,Phones & Tablets,Accessories,Smart Watches,329.00 Dhs,27%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Haylou Montre intelligente Solar Pro – Brown,449.00 Dhs,4.7,3,2025-12-03T13:45:38.517284,,jumia.ma,https://www.jumia.ma/haylou-montre-intelligente-solar-pro-brown-67120448.html
Generic,Phones & Tablets,Accessories,Selfie Sticks & Tripods,95.00 Dhs,44%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Ring Light 20cm + Trepied Noir Tripod Studio photo RingLight 3 Lumiere,170.00 Dhs,4,12,2025-12-03T13:45:38.517898,,jumia.ma,https://www.jumia.ma/generic-ring-light-20cm-trepied-noir-tripod-studio-photo-ringlight-3-lumiere-64847348.html
